id;nom;prenom;date_naiss;lieu_naiss;sexe;telephone;adresse_physique;region_residence;depart_residence;niveau_etude;cni
1;puisque perplexe animer;diététiste à défaut de  quoique;2024-06-05;hôte timide;HOMME;19583;recta parvenir en;AUTRE;MBOUR;CHEFEQUIPE;22963
2;quelquefois;guider membre titulaire hi;2024-06-05;découper enterrer de crainte que;FEMME;3917;jouir de;THIES;SALAMATA;METP;18696
3;même si;mal étant donné que tchou tchouu;2024-06-04;commis célébrer;HOMME;2700;concurrence contre en plus de;DAKAR;KOUMPENTOUM;BEP1;15734
4;glouglou adepte toc;renvoyer;2024-06-05;chez;FEMME;29900;infime meuh;ZIGINCHOR;BIGNONA;METP;11452
5;communauté étudiante parer;vaste grâce à;2024-06-04;devant aux environs de;HOMME;28832;totalement;MATAM;MATAM;CINQUIEME;23558
6;aussitôt que collègue adopter;dessiner ralentir parmi;2024-06-05;autant;HOMME;14132;pschitt;TAMBACOUNDA;PODOR;TERMINAL;12151
7;au point que souvenir de crainte que;approximativement grâce à bzzz;2024-06-05;atchoum dring;FEMME;24513;vanter au-dehors;THIES;KOUMPENTOUM;MASTER;17522
8;adversaire à l'entour de;de façon que;2024-06-05;repérer de;HOMME;14320;sous couleur de noyer;FATICK;KEDOUGOU;BAC;8670
9;intrépide au point que;bien que;2024-06-05;autrefois;FEMME;12678;triathlète;TAMBACOUNDA;BIRKILANE;BTS;31492
10;chez;proche;2024-06-04;tchou tchouu;HOMME;31502;pis fourrer dynamique;MATAM;TAMBACOUNDA;CAP2;7345
