id;carte_etudiant;nom;prenom;date_naiss;lieu_naiss;sexe;telephone;adresse_physique;region_residence;depart_residence;email;cni
1;officier au-delà;altruiste avant que;miaou ah;2024-06-05;prestataire de services;HOMME;30777;de manière à ce que guide épuiser;LOUGA;BAKEL;Frederique_Leroux19@gmail.com;5866
2;bang;responsable en bas de;exprès drelin;2024-06-05;quoique oh envelopper;FEMME;20729;engager dehors;TAMBACOUNDA;BAKEL;Alexandre.Carpentier91@yahoo.fr;11251
3;juriste;toc aussitôt que oh;parce que au prix de quant à;2024-06-05;ronron venir;HOMME;26171;sortir;SEDHIOU;KEDOUGOU;Melisande_Gerard25@gmail.com;5285
4;ouch agréable sous;probablement;raide tandis que;2024-06-04;pas mal concernant prestataire de services;FEMME;649;blablabla avant de outre;KAFFRINE;BAMBAEY;Angilbe_Fernandez@gmail.com;23703
5;mairie oui timide;tchou tchouu dévoiler mairie;pauvre adepte;2024-06-04;comme;HOMME;23483;à bas de toc complètement;KEDOUGOU;DAKAR;Ambre.Lacroix41@gmail.com;32456
6;euh;avant que suffisamment mélancolique;savoir;2024-06-04;géométrique tendre entre;HOMME;6563;personnel;KAFFRINE;PIKINE;Coline_Leclercq@yahoo.fr;9079
7;pendant que;cadre;au défaut de de sorte que athlète;2024-06-04;souvenir pff;FEMME;4207;actionnaire mieux extra;AUTRE;NIORO;Flodoard87@hotmail.fr;32438
8;combien;bof secouriste développer;loin;2024-06-05;nonobstant personnel professionnel envers;HOMME;14452;coin-coin foncer;KEDOUGOU;KOUMPENTOUM;Chretien.Deschamps48@gmail.com;1911
9;entièrement incliner toutefois;badaboum dehors propre;outre;2024-06-05;poser multiple;FEMME;26938;adversaire;KEDOUGOU;FATICK;Denis26@gmail.com;8736
10;du moment que complètement deçà;pendant que parce que suivant;adepte perplexe;2024-06-05;sans doute;FEMME;15366;présidence forcer également;THIES;MBOUR;Auxence.Morel@hotmail.fr;21318
